name	moaStr	exp	mut	swa	exp_mut	exp_swa	mut_swa	exp_mut_swa
Azacitidine (NSC102816)	DNMT	0.195746821975931	0.571900497222567	0.000857663560727478	0.100856831502719	0.192895051473149	0.206042396582241	0.209906086721324
Cladribine (NSC105014)	Ds	0.279738860508856	0.457772080301667	0.44884391352409	0.276585510261661	0.226507649712883	0.487060434059822	0.159350511588866
Mithramycin (NSC105024)	Rs	0.484800808807368	0.101996250697054	0.850904844453698	0.397185809015498	0.775089511455665	0.539384706881522	0.625460637565261
Asparaginase (NSC109229)	AM,Pi	0.307352801776839	0.26277144251707	0.0352509184544945	0.287566769695549	0.114297415869194	0.0949229274127155	0.0832116586387411
Ifosfamide (NSC109724)	A7,AlkAg	0.272123884850149	0.0394148523864929	0.0537904193920816	0.36704178509787	0.549437694489312	0.309621123008088	0.525275056980637
Benzimate (NSC109874)	Tu	0.27136280374138	NA	0.0740277386855242	0.452788715790636	0.112057388795355	0.0951279159977264	0.225999855151761
Acetalax (NSC117186)	NonCan:Cath	0.228575078094266	0.125294641336494	0.272843786362617	0.0416324130475525	0.35199060387174	0.163794513665173	0.246114163422361
Fludarabine (NSC118218)	Ds,AM	0.51562944911598	0.181694500309623	0.729646518896842	0.0504362868752258	0.586975491071604	0.415185893406404	0.268378574424022
Cisplatin (NSC119875)	A7,AlkAg	0.37915617458577	0.860639292140482	0.00507569270445598	0.36328982926151	0.20456373277227	0.110835929470951	0.258422172882862
Dromostanolone Propionate (NSC12198)	Ho	0.0829856399157817	0.242694896935551	0.325810438510648	0.362524549841638	0.329363731678856	0.020571278806294	0.576959641538788
Isotretinoin (NSC122758)	Ho,RXR	0.387122241632349	0.53721123220753	0.0354249702149677	0.531190326299145	0.450884994980622	NA	0.479325859913558
Teniposide (NSC122819)	T2	0.275868636716289	0.610614691281985	0.452664519790265	0.280522611343444	0.569539180298131	0.339701918908714	0.527964684642919
Doxorubicin (NSC123127)	T2	0.177981802343582	0.124913050770052	0.019905847625624	0.109761696749009	0.340574288917087	0.16553903075571	0.264342108567014
Fludarabine (NSC124463)	Ds,AM	0.656778014135613	0.050682868782222	0.173913565894542	0.55990263424684	0.714070252394674	0.0706862393994681	0.704969998707331
Bleomycin (NSC125066)	Db	0.594855831642736	0.303864611493308	0.57397732527703	0.58539097919864	0.536511787030006	0.46317885893259	0.521203511993131
Paclitaxel (NSC125973)	Tu	0.617224341499749	0.80203834853797	0.0667540200007074	0.512843478099868	0.497918164811945	0.1415077560292	0.444005881530039
Decitabine (NSC127716)	AM,DNMT	0.417943067371703	0.103583481593473	0.0546225463259077	0.245184479204007	0.0973094214352405	0.0788875684825597	0.0627435367415901
Mitomycin (NSC134727)	A2	0.0446338832582348	0.219366464985762	0.593742202860344	0.0260189712691096	0.219124538969732	0.659573132368932	0.0636102807134146
Bendamustine (NSC138783)	AlkAg,A2,A6	0.0213831517494413	0.183301274116248	0.307443154711552	0.120476780502666	0.115927907770535	0.172366440990967	0.163085895644502
Allopurinol (NSC1390)	AM	0.123787966982794	0.144752514719547	0.135011450949013	0.117079977223372	0.0961179303937706	0.23446040681883	0.0121643966069991
Etoposide (NSC141540)	T2	0.342282381850112	0.602525634529211	0.379003157347831	0.290897862892847	0.434179001907951	0.393581208698349	0.443526405571564
Homoharringtonine (NSC141633)	Apo,Pi,Ang	0.287036607225385	0.368301023359121	0.245727477122462	0.233003449875494	0.27053616712481	0.295509112375743	0.229398188317333
Acrichine (NSC14229)	Db,AP	0.20273765364425	0.807380624761895	0.387131296406943	0.291558547748207	0.277288898127486	0.273059168083555	0.370684755315016
Mithramycin (NSC143020)	Rs	0.259379731126109	0.586326635750498	0.39441827825632	0.511045990702567	0.370696286488444	0.617634450545308	0.510683941362161
Tegafur (NSC148958)	Df	0.0245827848202717	0.138865103477927	0.0952507918924984	0.0147407457488536	0.155714331442796	0.663708668321619	0.160587818186728
Parthenolide (NSC157035)	Apo	0.034577907102573	0.665361490285762	0.521158030830116	0.0761360864737316	0.337333116245729	0.70540277893644	0.314990253927505
Dexrazoxane (NSC169780)	T2	0.0447519603678879	0.423477712973712	0.0199361190714828	0.162484051181935	0.0819114639841086	0.137408031182749	0.0543755462643311
Pimozide (NSC170984)	NonCan:Psy	0.662487422979189	0.0928133957855901	0.15913065922915	0.517486813521405	0.605287537264267	0.276742641868153	0.649297352338943
Elesclomol (NSC174939)	ROS1	0.268330795879655	NA	0.0759876168473562	0.4811614614478	0.264477937009931	0.199223239206344	0.472227977725452
Tamoxifen (NSC180973)	Ho	0.137475447032672	0.679994466783968	0.249594054420852	0.130717443518879	0.0413458789211949	0.022093414999296	0.0609460355883813
Fluorouracil (NSC19893)	Ds,Rs	0.216582906296445	0.982666098963464	0.157419778905641	0.260299724844221	0.195092196807988	0.103725161667876	0.219868119967334
Wortmannin (NSC221019)	PK:PIK3	0.393770272870338	0.0236786324055487	0.721848169064369	0.193204053184063	0.225208351031461	0.65926911200113	0.129178485890644
Rapamycin (NSC226080)	STK,PK:MTOR	0.696656768911368	0.163072392097386	0.456876718555486	0.160102513927262	0.696179826093399	0.0161979343878892	0.138990201346247
Nandrolone phenpropionate (NSC23162)	Ho,NonCan:Ste	0.229995898739824	0.581697523381801	0.42808371795552	0.0462204177380243	0.132980633909054	0.526572112441823	0.174297106533328
Testolactone (NSC23759)	Ho	0.275260607035804	0.745428791954975	0.194634146873049	0.442573640374673	0.0401164399178936	0.175576386822092	0.0248003627185298
Carboplatin (NSC241240)	A7,AlkAg	0.356289004594021	0.789509509703533	0.0662564212723391	0.329007967435998	0.20145112864626	0.0258248299448894	0.119288164684425
Valrubicin (NSC246131)	T2	0.661295377826754	0.74660129146029	0.311873470117306	0.650104289917998	0.584890776608091	0.394441713116712	0.57974790535531
