nsc	isFdaApproved	drugNames	moaStr
102816	TRUE	Azacitidine	DNMT
105014	TRUE	Cladribine	Ds
105024	TRUE	Mithramycin	Rs
109229	TRUE	Asparaginase	AM,Pi
109724	TRUE	Ifosfamide	A7,AlkAg
109874	FALSE	Benzimate	Tu
117186	TRUE	Acetalax	NonCan:Cath
118218	TRUE	Fludarabine	Ds,AM
119875	TRUE	Cisplatin	A7,AlkAg
12198	TRUE	Dromostanolone Propionate	Ho
122758	TRUE	Isotretinoin	Ho,RXR
122819	TRUE	Teniposide	T2
123127	TRUE	Doxorubicin	T2
124463	TRUE	Fludarabine	Ds,AM
125066	TRUE	Bleomycin	Db
125973	TRUE	Paclitaxel	Tu
127716	TRUE	Decitabine	AM,DNMT
134727	TRUE	Mitomycin	A2
138783	TRUE	Bendamustine	AlkAg,A2,A6
1390	TRUE	Allopurinol	AM
141540	TRUE	Etoposide	T2
141633	TRUE	Homoharringtonine	Apo,Pi,Ang
14229	TRUE	Acrichine	Db,AP
143020	TRUE	Mithramycin	Rs
148958	TRUE	Tegafur	Df
157035	TRUE	Parthenolide	Apo
169780	TRUE	Dexrazoxane	T2
170984	FALSE	Pimozide	NonCan:Psy
174939	FALSE	Elesclomol	ROS1
180973	TRUE	Tamoxifen	Ho
19893	TRUE	Fluorouracil	Ds,Rs
221019	FALSE	Wortmannin	PK:PIK3
226080	TRUE	Rapamycin	STK,PK:MTOR
23162	TRUE	Nandrolone phenpropionate	Ho,NonCan:Ste
23759	TRUE	Testolactone	Ho
241240	TRUE	Carboplatin	A7,AlkAg
246131	TRUE	Valrubicin	T2
25154	TRUE	Pipobroman	A7,AlkAg
255109	FALSE	geldanamycin analog	HSP90
256439	TRUE	Idarubicin	T2
256942	TRUE	Epirubicin	T2
26271	TRUE	Cyclophosphamide	A7,AlkAg
264137	FALSE	Elliptinium Acetate	NA
266046	TRUE	Oxaliplatin	A7
26980	TRUE	Mitomycin	A2
27640	TRUE	Floxuridine	Ds
279836	TRUE	Mitoxantrone	T2
280594	FALSE	Triciribine phosphate	STK
281612	FALSE	BEN	A7
287459	TRUE	Cytarabine	Ds
301739	TRUE	Mitoxantrone	T2
3053	TRUE	Actinomycin D	Db
3088	TRUE	Chlorambucil	A7,AlkAg
308847	FALSE	Amonafide	T2
